,id,dimension,nombre,regimen,localidad,capacidad,geometry,r1_caminable,r1_bicicleta,r1_transporte
258,46006291,educacion,CEIP EL PARQUE,PÚB.,CAÑADA (LA),16.0,POINT (716068.8438379592 4377885.445960824),0.0362625872198919,0.04838757519529346,0.001579172967296839
259,46006380,educacion,CENTRE PRIVAT REGINA CARMELI,PRIV. CONC.,PATERNA,13.0,POINT (720498.6556838545 4375049.422372274),0.014583464900957483,0.027578386814515566,0.0007254619305431238
260,46006409,educacion,CENTRE PRIVAT LICEO HISPANO,PRIV. CONC.,PATERNA,41.0,POINT (720556.6769261255 4375052.075154634),0.003205728831449608,0.0016996036164290905,0.002749893048909539
261,46006410,educacion,CENTRE PRIVAT LA SALLE,PRIV. CONC.,PATERNA,72.0,POINT (720824.6715616798 4375007.724398115),0.03036217796111454,0.001712802798937453,0.005349328710741374
262,46006422,educacion,CENTRE PRIVAT ESCUELA PROFESIONAL LA SALLE,PRIV. CONC.,PATERNA,36.0,POINT (720180.5709744549 4376337.1438392615),0.008385897688202191,0.02462407736901667,0.0020924482436967718
263,46006446,educacion,CENTRO PRIVADO EL ARMELAR,PRIV. CONC.,TERRAMELAR,75.0,POINT (720905.9572904344 4376423.586143098),0.007380145088978619,0.03307919515289534,0.5357403216422674
264,46006458,educacion,CEIP MIGUEL DE CERVANTES,PÚB.,PATERNA,15.0,POINT (720217.5285527323 4375482.898531312),0.0029426557562563876,0.0013210166370057736,0.00016529194609680404
265,46006461,educacion,CEIP TORRE DE PATERNA,PÚB.,PATERNA,8.0,POINT (719690.9992673893 4376222.246074991),0.06216326624297715,0.010416836247593228,0.00018803473075882708
266,46006483,educacion,CEIP CLARA CAMPOAMOR,PÚB.,PATERNA,49.0,POINT (720008.3722159304 4375304.980429468),0.01179275797195525,0.037234623107981375,0.0027543981081938414
267,46006501,educacion,CENTRE PRIVAT SANTO TOMÁS DE AQUINO,PRIV. CONC.,CAÑADA (LA),46.0,POINT (717730.7226356771 4378870.654388311),0.0007344964696421199,0.0024836847011125963,0.08518585806234126
270,46006574,educacion,CEIP BALADRE,PÚB.,PICANYA,40.0,POINT (721155.8620279524 4368019.714632482),3.1250655584044518,0.11650611935593348,0.017544046533389326
271,46006616,educacion,CENTRE PRIVAT SANT CRISTÒFOR MÀRTIR I,PRIV. CONC.,PICASSENT,50.0,POINT (718621.8749910669 4360234.723032032),0.015508806439081417,0.012464552093107942,0.00988543219493766
272,46006631,educacion,CEIP SANT IGNASI DE LOIOLA,PÚB.,PICASSENT,20.0,POINT (718407.4350287804 4359404.877601289),0.01333859040865181,0.007268020906207097,0.00398252675365532
273,46006641,educacion,CEIP MARE DE DÉU DE VALLIVANA,PÚB.,PICASSENT,50.0,POINT (718675.6530171202 4360361.541338724),0.002856841333267164,0.008620816646177063,0.002487586907283198
274,46006653,educacion,CEIP PRÍNCIPE DE ESPAÑA,PÚB.,PICASSENT,35.0,POINT (719211.9246121708 4360394.967812966),0.008166403368335753,0.0017488251244924178,0.01246455191144009
275,46006665,educacion,CENTRE PRIVAT AUSIÀS MARCH,PRIV.,PICASSENT,55.0,POINT (716640.4179222109 4360558.857049116),0.11764832574000425,0.00398252675365532,4.583413366717142
276,46006677,educacion,CENTRE PRIVAT LA NOSTRA ESCOLA COMARCAL,PRIV. CONC.,PICASSENT,50.0,POINT (716786.0319942514 4363820.505909707),3.0556121160250997,0.01138185448018061,3.1250655584044518
278,46006707,educacion,CEIP EUGENIO MARTÍ SANCHIS,PÚB.,BENICULL DE XÚQUER,3.0,POINT (725884.3738070242 4340680.551838286),0,0.006055148551906364,0
280,46006744,educacion,CEIP CERVANTES,PÚB.,POBLA DE FARNALS (LA),50.0,POINT (729474.027386199 4384543.118000604),0.03037459453910099,0.0012465524179530456,0.002738563737461859
282,46006768,educacion,CENTRE PRIVAT SAN JOSÉ,PRIV. CONC.,POBLA DE VALLBONA (LA),22.0,POINT (710037.4833265905 4385116.980886257),0.0033253006833551847,0.05808171564529975,0.006030798384506462
283,46006771,educacion,CENTRE PRIVAT SAN RAFAEL,PRIV. CONC.,POBLA DE VALLBONA (LA),22.0,POINT (710041.9350656748 4385663.745728553),0.07843222323701535,0.0004556572985371903,0.0015759486697279547
284,46006793,educacion,CENTRE PRIVAT COLOR DE MONTE COLORADO,PRIV. CONC.,POBLA DE VALLBONA (LA),24.0,POINT (709591.7813028463 4386922.298765306),0.07165213851948193,0.0030960199586438377,0.010349397852334083
285,46006801,educacion,CEIP LLUÍS VIVES,PÚB.,POBLA DE VALLBONA (LA),30.0,POINT (710137.6795747472 4385054.502844415),0.01485169482018855,0.010349397852334083,0.008542267926019056
288,46006835,educacion,CEIP PARE JOFRÉ,PÚB.,PUIG DE SANTA MARIA [EL],18.0,POINT (731762.3128073306 4385872.436266503),0.006194261538637989,0.0033116238356306216,0.001001789577791949
290,46006884,educacion,CEIP BISBE HERVÀS,PÚB.,PUÇOL,33.0,POINT (731854.5733838517 4388921.410611121),0.0006088345587108453,0.016340135127287617,0.0033116238356306216
291,46006896,educacion,CEP LUIS VIVES,PÚB.,PUÇOL,43.0,POINT (730602.9999604536 4388646.983730788),0.004932233801320194,0.0030123305175861477,0.0046177526450836325
293,46006938,educacion,CEIP VERGE DEL MIRACLE,PÚB.,RAFELBUNYOL,8.0,POINT (728637.5409199669 4385690.755911698),0.01979444895978527,0.015594794354314807,0.000196978484324601
298,46007025,educacion,CEIP SANT PERE APÒSTOL,PÚB.,REAL,16.0,POINT (706023.6281663496 4356589.339152794),0.20000072511469835,0.0006934915895334457,0.04371666277676155
303,46007268,educacion,CENTRE PRIVAT MARÍA DE ICÍAR,PRIV.,RIBA-ROJA DE TÚRIA,1.0,POINT (711544.6802767611 4378576.616643572),0.09313790955013027,0.004761963316483573,0.20000072511469835
304,46007271,educacion,CENTRE PRIVAT ASUNCIÓN DE NUESTRA SEÑORA,PRIV. CONC.,RIBA-ROJA DE TÚRIA,50.0,POINT (709093.1369217935 4379819.695957209),0.01742947820078441,0.08636435250270398,0.016340135127287617
305,46007281,educacion,CEIP CERVANTES,PÚB.,RIBA-ROJA DE TÚRIA,38.0,POINT (708552.2401466857 4379877.728723151),0.5666841698617814,0,0.004761963316483573
306,46007293,educacion,CENTRE PRIVAT ENTRENARANJOS,PRIV.,RIBA-ROJA DE TÚRIA,16.0,POINT (711622.6624755227 4380711.012563707),0.0037348954582754105,0.0067454481079464845,0.015594794354314807
307,46007311,educacion,CEIP MIGUEL HERNÁNDEZ,PÚB.,RIOLA,10.0,POINT (730037.0743065418 4342086.541791883),0,0.0008793509068782574,0.003516196429076156
308,46007372,educacion,CEIP SAN SEBASTIÁN,PÚB.,ROCAFORT,11.0,POINT (722652.887243167 4378518.912977455),0.0014176832158011212,0.0011952317574667037,0.0011859970494764028
310,46007487,educacion,CEIP NUESTRA SEÑORA DE BEGOÑA,PÚB.,PUERTO SAGUNTO (EL),37.0,POINT (738732.375375242 4393794.984521867),0.002983319362239492,0.009761286213156039,0.000811484151691854
311,46007499,educacion,CENTRE PRIVAT SAN PEDRO APÓSTOL,PRIV. CONC.,PUERTO SAGUNTO (EL),25.0,POINT (737936.6079160288 4393755.670956438),0.0011749611426267149,0.0018808083485184147,0.0020532413029671417
312,46007517,educacion,CEIP CERVANTES,PÚB.,PUERTO SAGUNTO (EL),20.0,POINT (738076.6743017299 4393758.669721491),0.00040328358117107903,0.008190123055261244,0.0009480576007197336
313,46007529,educacion,CEIP MAESTRO TARAZONA,PÚB.,PUERTO SAGUNTO (EL),39.0,POINT (737211.1039159012 4394724.293731907),0.011586613039623432,0.0009521194960495234,0.00574221247406454
314,46007581,educacion,CEIP BALADRE,PÚB.,PUERTO SAGUNTO (EL),17.0,POINT (736571.7879341479 4394990.0558487205),0.021519119494882694,0.005376423874562688,0.017171876160116607
316,46007669,educacion,CEIP CRONISTA CHABRET,PÚB.,SAGUNT,23.0,POINT (733470.4686077272 4395948.065198133),0.0008607902207059378,0.019101257809179168,0.0006700198734052262
317,46007670,educacion,CEIP JOSÉ ROMEU,PÚB.,SAGUNT,22.0,POINT (733962.4142679673 4395826.351454899),0.015008105246482023,0.008408887272272444,0.0011797680871014934
318,46007700,educacion,CEIP MONTÍBER,PÚB.,SAGUNT,33.0,POINT (733603.6872601702 4396231.441529755),0.008695790266682844,0.004797659765079017,0.0015973600541376132
320,46007803,educacion,CENTRE PRIVAT SEDAVÍ,PRIV. CONC.,SEDAVÍ,40.0,POINT (724849.2971556586 4367442.422070625),0.00022884865107932422,0.0003074118580993403,0.010384381709485316
321,46007815,educacion,CEIP FERNANDO BAIXAULI CHORNET,PÚB.,SEDAVÍ,18.0,POINT (724808.8783493043 4367323.823685964),0.0028372912413504267,0.006201630800634767,0.0014002509366279163
322,46007827,educacion,CEIP SAN CLEMENTE,PÚB.,SEDAVÍ,25.0,POINT (725229.6452570766 4367046.06586025),0.010288208051814764,0.007783577914349941,0.003805230552948374
324,46007864,educacion,CEIP SANT JOSEP,PÚB.,SERRA,13.0,POINT (720484.1586257846 4395812.950762904),0.0012052986220763167,0.0035009945718408497,0.001796593539831536
326,46007888,educacion,CENTRE PRIVAT SAGRADA FAMILIA,PRIV. CONC.,SILLA,40.0,POINT (722684.9230325874 4360451.976366115),0.0008554402805679208,0.0078088049739826115,0.007961897083612895
327,46007931,educacion,CEIP VERGE DELS DESEMPARATS,PÚB.,SILLA,20.0,POINT (722966.1590428696 4360475.031501312),0.003696276635545579,0.0005311094296615256,0.0008267959386438079
328,46007967,educacion,CEIP SAN ROQUE,PÚB.,SILLA,17.0,POINT (723137.1525489413 4359432.11873317),0.023088377109886926,0.001840149983675601,0.006071534117616076
331,46008042,educacion,CEIP LÓPEZ MARCO,PÚB.,SOLLANA,32.0,POINT (725374.060824449 4351082.412484631),0.001156917618687724,0.00010388774573642758,0.007808804716596594
332,46008066,educacion,CEIP MARENY DE BARRAQUETES,PÚB.,MARENY DE BARRAQUETES,2.0,POINT (736187.4422397336 4347541.722140266),0.006921423971274883,0.00032952086836940896,0.0018518668450067514
333,46008081,educacion,CEIP EL PERELLÓ,PÚB.,PERELLÓ (EL),18.0,POINT (735032.463857646 4350746.720121567),0.0063958599838994405,0.0013440990862947774,0.0158595888060156
334,46008091,educacion,CENTRE PRIVAT MARÍA AUXILIADORA,PRIV. CONC.,SUECA,19.0,POINT (732323.9499827409 4342786.265900853),0.7200123713728618,0.0029762331480793955,0.0002952864607816368
335,46008111,educacion,CENTRE PRIVAT LUIS VIVES,PRIV. CONC.,SUECA,24.0,POINT (732851.802166357 4342543.436861056),0.012056074521761611,0.0013966638061136357,0.007237765745658511
336,46008133,educacion,CENTRE PRIVAT UNIÓN CRISTIANA,PRIV. CONC.,SUECA,19.0,POINT (732490.3677289712 4342643.0061964085),0.00044335875629627835,0.011822805874879851,0.0005772870815530783
337,46008145,educacion,CENTRE PRIVAT NUESTRA SEÑORA DE FÁTIMA,PRIV. CONC.,SUECA,18.0,POINT (732296.2246456349 4342121.856329363),0.0019255634850818399,0.007285417747418719,0.0007662970931909395
338,46008157,educacion,CENTRE PRIVAT E. JARDÍN ATENEO SUECO DEL SOCORRO,PRIV. CONC.,SUECA,25.0,POINT (731875.9426979788 4342345.802877427),0.00014424683198172855,0.0007991673321254037,0.0015845067701353473
